name,players,information,lives,moves,score
pure_random,2,4,0,12,2
random,2,5,0,9,3
internal,2,1,3,73,14
outer,2,1,3,73,14
cautious,2,8,0,30,5
pure_random,3,8,0,8,0
random,3,4,0,12,3
internal,3,1,3,64,13
outer,3,0,3,65,13
cautious,3,0,3,63,15
pure_random,4,8,0,13,1
random,4,8,0,5,0
internal,4,0,3,66,10
outer,4,1,3,63,13
cautious,4,1,3,63,12
pure_random,5,7,0,9,0
random,5,8,0,3,1
internal,5,1,3,55,12
outer,5,1,3,56,11
cautious,5,1,3,55,12
pure_random,2,1,0,34,3
random,2,8,0,2,0
internal,2,0,3,79,9
outer,2,1,3,76,11
cautious,2,3,3,68,18
pure_random,3,5,0,15,0
random,3,8,0,8,1
internal,3,1,3,65,12
outer,3,0,3,65,14
cautious,3,1,3,63,15
pure_random,4,8,0,9,1
random,4,8,0,5,1
internal,4,1,3,66,9
outer,4,0,3,64,13
cautious,4,1,3,61,14
pure_random,5,6,0,12,0
random,5,8,0,14,4
internal,5,1,3,56,11
outer,5,1,3,57,10
cautious,5,1,3,57,10
pure_random,2,7,0,9,2
random,2,7,0,7,0
internal,2,1,3,74,14
outer,2,1,3,74,14
cautious,2,5,3,67,16
pure_random,3,0,0,17,3
random,3,8,0,6,0
internal,3,1,3,65,12
outer,3,0,3,63,16
cautious,3,1,3,64,13
pure_random,4,4,0,11,1
random,4,8,0,5,1
internal,4,1,3,64,11
outer,4,1,3,63,12
cautious,4,1,3,63,12
pure_random,5,3,0,14,0
random,5,8,0,4,0
internal,5,1,3,58,10
outer,5,1,3,57,11
cautious,5,1,3,58,9
pure_random,2,8,0,13,2
random,2,7,0,4,0
internal,2,1,3,76,11
outer,2,1,3,76,12
cautious,2,4,3,70,15
pure_random,3,4,0,13,2
random,3,6,0,10,0
internal,3,1,3,65,12
outer,3,1,3,62,15
cautious,3,0,3,64,14
pure_random,4,6,0,15,1
random,4,8,0,8,0
internal,4,1,3,63,12
outer,4,1,3,66,9
cautious,4,1,3,63,12
pure_random,5,2,0,21,1
random,5,8,0,8,0
internal,5,1,3,58,9
outer,5,1,3,58,9
cautious,5,1,3,59,8
pure_random,2,8,0,11,1
random,2,8,0,10,1
internal,2,1,3,73,15
outer,2,1,3,75,12
cautious,2,7,1,66,14
pure_random,3,0,0,13,1
random,3,8,0,3,0
internal,3,0,3,65,14
outer,3,1,3,65,12
cautious,3,1,3,65,12
pure_random,4,7,0,5,0
random,4,8,0,9,2
internal,4,1,3,62,13
outer,4,1,3,62,13
cautious,4,1,3,62,13
pure_random,5,6,0,9,1
random,5,8,0,4,1
internal,5,1,3,57,10
outer,5,0,3,59,9
cautious,5,0,3,57,11
pure_random,2,7,0,5,0
random,2,8,0,3,0
internal,2,0,3,74,14
outer,2,0,3,73,15
cautious,2,8,0,22,3
pure_random,3,4,0,26,2
random,3,8,0,4,0
internal,3,1,3,65,13
outer,3,1,3,64,13
cautious,3,0,3,66,13
pure_random,4,6,0,10,2
random,4,7,0,6,1
internal,4,1,3,62,13
outer,4,1,3,63,13
cautious,4,1,3,62,13
pure_random,5,7,0,8,1
random,5,8,0,7,0
internal,5,0,3,57,11
outer,5,0,3,56,12
cautious,5,1,3,56,11
pure_random,2,6,0,10,1
random,2,8,0,7,2
internal,2,1,3,74,13
outer,2,1,3,71,17
cautious,2,4,3,69,17
pure_random,3,7,0,5,0
random,3,6,0,7,0
internal,3,1,3,67,10
outer,3,1,3,63,15
cautious,3,1,3,62,15
pure_random,4,6,0,5,0
random,4,8,0,4,0
internal,4,1,3,62,13
outer,4,1,3,64,11
cautious,4,3,3,62,11
pure_random,5,8,0,12,2
random,5,6,0,10,2
internal,5,0,3,58,10
outer,5,0,3,57,11
cautious,5,1,3,56,11
pure_random,2,8,0,6,0
random,2,8,0,9,0
internal,2,0,3,71,19
outer,2,0,3,75,13
cautious,2,8,0,4,1
pure_random,3,7,0,6,1
random,3,7,0,7,1
internal,3,0,3,64,14
outer,3,0,3,65,13
cautious,3,2,3,64,13
pure_random,4,8,0,6,0
random,4,7,0,12,1
